Q6_22_TEXT,Q8_6_TEXT,Q11_7_TEXT,Q12_4_TEXT,Q13_6_TEXT,Q14_8_TEXT,Q7,Q15
nan,nan,nan,nan,nan,nan,"Low taxes, gender equality, climate change",It is a shame UC Berkeley is so politizised
nan,nan,nan,nan,nan,nan,Climate Change,I seriously hope trump loses 
nan,nan,nan,nan,nan,nan,Trade war,
nan,nan,nan,nan,nan,nan,Inequality,
nan,nan,nan,nan,nan,nan,campaign finance,
nan,nan,nan,nan,catholic,nan,equal rights ,
nan,nan,nan,nan,nan,nan,economy,
nan,nan,nan,nan,nan,nan,"Trade War, Economy, Taxation ",
nan,nan,nan,nan,nan,nan,social issues abortion rights,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,Foreign Policy  ,
nan,nan,nan,nan,nan,nan,War,
nan,nan,nan,nan,nan,nan,Climate change,
nan,nan,nan,nan,nan,nan,Gender,
nan,nan,nan,nan,nan,nan,nan,
nan,I’m nonpartisan ,nan,nan,nan,nan,Higher Education and debt,
nan,nan,nan,nan,nan,nan,Economy,"If the economic numbers stay good, Trump takes it."
nan,nan,nan,nan,nan,nan,wealth inequalty,
nan,nan,nan,nan,nan,nan,Climate change,
nan,nan,nan,nan,nan,nan,Climate Change,Primary objective is to make sure Trump does not win again
nan,nan,nan,nan,nan,nan,healthcare policy,
nan,nan,nan,nan,nan,nan,income/wealth inequality,
nan,nan,nan,nan,nan,nan,international relations,
nan,nan,nan,nan,nan,nan,student visa ,Fuck liberals
nan,nan,nan,nan,nan,nan,Abortion,no
nan,nan,nan,nan,nan,nan,improved living conditions for homeless and better mental health programs,
nan,nan,nan,nan,Baha'I ,nan,International relatipnship/immigration laws,
nan,nan,Psychology,nan,nan,nan,Public health care,No
nan,nan,nan,nan,nan,nan,employment,unpredictable
not American,Liberal party of Canada,nan,nan,nan,nan,no one above law,no one is above the law
nan,nan,nan,nan,Catholic,nan,I don't know,
nan,nan,nan,nan,nan,nan,environment,
nan,nan,nan,nan,nan,nan,Healthcare,Nice that you guys have a fair debate :)
nan,nan,nan,nan,nan,nan,not clear,no familiar
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,Rights for all ppl,
nan,nan,nan,nan,nan,nan,foreign policy,
nan,nan,nan,nan,nan,nan,health care,
nan,nan,nan,nan,nan,nan,mass incarceration of african americans,
nan,nan,nan,nan,nan,nan,abortion,
nan,nan,nan,nan,nan,nan,"Abortion rights, gun control",
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,"Visa, healthcare",
nan,nan,nan,nan,nan,nan,Political polarization,
nan,nan,nan,nan,nan,nan,Environmental issues ,
nan,nan,nan,nan,nan,nan,Undermining capitalism,
nan,nan,nan,nan,nan,nan,No clue,
nan,nan,nan,nan,nan,nan,Not involved. ,
nan,nan,nan,nan,nan,nan,Climate Change,Go Bernie
nan,nan,nan,nan,nan,nan,"Humanity, caring for people.",
nan,nan,nan,nan,nan,nan,Foreign policy ,I worry that there is still a high likelihood trump will be re-elected
nan,nan,nan,nan,nan,nan,Supreme Court/abortion,"It's a shit show of communism and incompetence, should be fun"
nan,nan,nan,nan,nan,nan,Economics,
nan,nan,nan,nan,nan,Chinese,RMB exchange rate,To understand China
nan,nan,nan,nan,nan,nan,Gun control,None
nan,nan,nan,nan,nan,nan,Income inequality ,
nan,nan,nan,nan,nan,nan,Not that important ,Nope
nan,nan,Law,nan,nan,nan,Jobs,Go Democrats!
nan,nan,nan,nan,nan,nan,Decolonization; repetitions; prison abolition,
nan,nan,nan,nan,nan,nan,education ,
nan,nan,nan,nan,nan,nan,Health ,
nan,nan,nan,nan,nan,nan,Green New Deal,
nan,nan,Computer Science,nan,nan,nan,Public Healthcare,
nan,nan,nan,nan,nan,nan,Economy ,I cant discuss i am republican because people start behaving mean and rude towards me 
nan,nan,nan,nan,Catholic ,nan,Equal opportunity ,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,diplomacy,
nan,nan,nan,nan,nan,nan,The economy,It's a shit show
nan,nan,nan,nan,nan,nan,National security,MAGA
nan,nan,nan,nan,nan,nan,Student debt,
nan,nan,nan,nan,nan,nan,Gun control,
nan,nan,Economics,nan,nan,Korean,No Populism,No communism
nan,nan,nan,nan,nan,nan,Global warming ,
nan,nan,nan,nan,nan,nan,Immigration ,
nan,nan,nan,nan,nan,nan,Environmental policy,N/a
nan,nan,nan,nan,nan,nan,Climate change,Not r
nan,nan,nan,nan,nan,nan,Equality and equity,
nan,nan,nan,nan,nan,nan,Environment and economics,No
nan,nan,nan,nan,nan,nan,democracy,
nan,nan,nan,nan,nan,nan,Health care,
nan,nan,nan,nan,nan,nan,Immigration,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,Climate change and immigration ,
nan,nan,nan,nan,nan,nan,Climate change,Fuck Joe biden
nan,nan,nan,nan,nan,nan,"Environment, education, social welfare ",
nan,nan,nan,nan,nan,nan,Health Insurance,
nan,nan,nan,nan,nan,nan,Environmental issues ,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,Humanities and Biological Sciences ,nan,nan,nan,Health Care,N\a
nan,nan,nan,nan,nan,nan,Economical prosperity,
nan,nan,nan,nan,nan,nan,Gun control,I hope the democratic candidate is chosen as someone who can try to pull switch votes instead of who’s the most liberal. We in general need change and nothing can be done at a deadlock with both sides pushing to both radicals of each spectrum. 
nan,nan,nan,nan,Catholic,nan,Taxes,
nan,nan,nan,nan,nan,nan,Economic equality,No
nan,nan,nan,nan,nan,nan,Economic success ,No
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,Social issues,
nan,nan,nan,nan,nan,nan,Taxes,
nan,nan,nan,nan,nan,nan,Climate change ,
nan,nan,nan,nan,nan,nan,Healthcare ,
nan,nan,nan,nan,nan,nan,Equality,
nan,nan,nan,nan,nan,nan,Immigration ,
nan,nan,nan,nan,nan,nan,Environmental protection ,rip
nan,nan,nan,nan,nan,nan,"Reasonable, actionable policy",
nan,nan,nan,nan,nan,nan,Immigration ,No
nan,nan,nan,nan,nan,nan,Immigrant policies,
nan,nan,nan,nan,nan,nan,Climate change ,
nan,nan,nan,nan,nan,Indian,Equality ,No comments 
nan,nan,nan,nan,nan,nan,Climate change ,There is a lot to take in with all the different people in the race as well as with trump being crazy 
Trump!,nan,nan,nan,nan,nan,Corruption ,Will it the last?
nan,nan,nan,nan,nan,nan,Environmental ,Good luck
nan,nan,nan,nan,nan,nan,Foreign policy,
nan,nan,nan,nan,nan,nan,College Debt / Climate Change,
nan,nan,nan,nan,nan,nan,Wage disparity ,
nan,Communist Party USA,nan,nan,nan,nan,Justice for all,Communism will win
nan,nan,nan,nan,nan,nan,"Immigrants, student visa",
nan,nan,nan,nan,nan,nan,Women’s rights,
nan,nan,nan,nan,nan,nan,Climate,
nan,nan,nan,nan,nan,nan,Humanity,
nan,nan,nan,nan,nan,nan,Climate change ,
nan,nan,nan,nan,nan,nan,Environmental and immigration issues,Bernie probably 
nan,nan,nan,nan,nan,nan,America’s massive debt,"If the democrats continue focusing on a mainly anti trump message, Trump’s gonna win"
nan,nan,nan,nan,nan,nan,Abortion laws,
nan,nan,nan,nan,nan,nan,Human rights,
nan,nan,nan,nan,nan,nan,Environment ,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,Unity,
nan,nan,nan,nan,nan,nan,Medicare ,
nan,nan,nan,nan,nan,nan,guns,
nan,nan,nan,nan,nan,nan,China and Hong Kong ,Not trump plz 
nan,nan,nan,nan,nan,nan,Climate change,
nan,nan,nan,nan,nan,nan,global policies,The democrats are too divided
nan,nan,nan,nan,nan,nan,Gun control,Nope
nan,nan,nan,nan,nan,nan,Immigration ,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,Catholic ,nan,health care coverage,
nan,nan,nan,nan,nan,nan,Not being a global disgrace,
nan,nan,nan,nan,nan,nan,International Environmental policy,I hope we get through it in one piece! 
nan,nan,nan,nan,nan,nan,Immigration ,
nan,nan,nan,nan,nan,nan,The climate crisis ,
nan,nan,nan,nan,nan,nan,Immigration rights. ,
nan,Nonpartisan ,nan,nan,nan,nan,Health insurance ,
nan,nan,nan,nan,nan,nan,Foreign Policy,
nan,nan,nan,nan,nan,nan,Nuclear energy ,
nan,nan,Design ,nan,nan,nan,Immigration reform and DREAMERS,I wish people would think more about each other 
nan,nan,nan,nan,nan,nan,National Defecit,
nan,nan,nan,nan,nan,nan,Global warming,"I fundamentally support Bernie's political revolution, but I believe Warren has the best concrete policy that is feasible to address Co2 emissions. And things are so precarious and there is so much urgency to the situation we find ourselves in that her solutions are more important than an all-encompassing Bernie revolution"
nan,nan,nan,nan,nan,nan,"Medicare for all, free college tuition ",
nan,nan,nan,nan,nan,nan,Educational debt,
nan,nan,nan,nan,nan,nan,Human rights issues,
nan,nan,nan,nan,nan,nan,Climate change,no
nan,nan,nan,nan,nan,nan,Climate change ,
nan,nan,nan,nan,nan,nan,Gun control,
nan,nan,nan,nan,nan,nan,Immigration,
nan,nan,nan,nan,nan,nan,Immigration,
nan,nan,nan,nan,nan,nan,universal health care,
nan,nan,nan,nan,Pastafarianism,nan,Universal Basic Income,
nan,nan,nan,nan,nan,nan,Wealth redistribution,
nan,nan,nan,nan,nan,nan,Immigration,I really hope 45th loses the election. If he wins it.. then we probably deserve it. Americans are racist
nan,nan,nan,nan,nan,nan,Climate crisis,
nan,nan,nan,nan,Catholic,nan,health care,We need to focus on the issues that are violating human rights!
nan,nan,nan,nan,nan,nan,Gun control,
nan,nan,nan,nan,nan,nan,Climate change ,
nan,nan,nan,nan,nan,nan,climate,
nan,nan,The arts ,nan,nan,nan,The environment and education. ,Politics are stressful and news is depressing. 
nan,nan,nan,nan,nan,nan,Safety inclusion freedom,
nan,nan,nan,nan,nan,nan,Addressing Climate Change,"I hope Elizabeth Warren or Bernie Sanders wins, but at this point any democrat is better than Trump. "
nan,nan,nan,nan,nan,nan,Women’s rights,
nan,nan,nan,nan,nan,nan,"Taxes, immigration policy",
nan,nan,nan,nan,nan,nan,Gun control,
nan,nan,nan,nan,nan,nan,climate change,
nan,nan,nan,nan,nan,nan,Accessible Healthcare,
nan,nan,nan,nan,nan,nan,Healthcare,
nan,nan,nan,nan,nan,nan,gun control,
nan,nan,nan,nan,nan,nan,Environmental reform,I am trying to get more educated!
nan,nan,nan,nan,nan,nan,Public education ,
nan,nan,nan,nan,nan,nan,Lower taxes,
nan,nan,nan,nan,nan,nan,Rights for all,
nan,nan,nan,nan,nan,nan,Restructuring the economy ,
nan,nan,nan,nan,nan,nan,Polarization,
nan,nan,nan,nan,nan,nan,climate change,
nan,nan,nan,nan,nan,nan,Women’s rights,
nan,nan,nan,nan,nan,nan,Environmental Preservation,
nan,nan,nan,nan,nan,nan,equity!,
nan,nan,nan,nan,nan,nan,"Climate change, women and POC rights",
nan,nan,nan,nan,nan,nan,climate crisis,
nan,nan,nan,nan,nan,nan,Social policy concerns ,N/a
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,A moral society ,There are too many candidates right now.
nan,nan,nan,nan,nan,nan,Basic needs met,
nan,nan,nan,nan,nan,nan,Foreign relations; military; trans rights,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,Agnostic,nan,racial/economic equality ,
nan,nan,nan,nan,"Jewish culturally, but with atheist beliefs ",nan,ending inequality ,
nan,nan,nan,nan,nan,nan,Healthcare,
nan,nan,nan,nan,nan,nan,Public health ,
nan,nan,nan,nan,nan,nan,Healthcare,
nan,nan,nan,nan,nan,nan,"Healthcare, public education",
nan,Working Families Party,nan,nan,nan,nan,Campaign Finance,YANG GANG
"I am considering Warren and Sanders, but I haven't done enough research yet",nan,nan,nan,nan,nan,Human rights issues,"I HOPE for more than the lesser of two evils, but I cannot EXPECT it."
nan,nan,nan,nan,nan,nan,Student tuitions,
nan,nan,nan,nan,nan,nan,"Economy, Immigration, Jobs",Trump by a landslide
nan,nan,nan,nan,nan,nan,Equity,
nan,nan,nan,nan,nan,nan,Climate change,
nan,nan,nan,nan,nan,nan,Education reform,
nan,nan,nan,nan,nan,nan,immigration,
nan,nan,nan,nan,nan,nan,Racism,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,nan,
nan,none,nan,nan,nan,nan,Climate change!!! ,
nan,nan,nan,nan,nan,nan,Increase investment in education ,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,Health care ,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,nan,
